ID	CONTESTO_PRECEDENTE	UNKNOWN	CONTESTO_SUCCESSIVO
104	Ma i grattacapi più grandi arrivano da Salvini, che prima raccatta voti	su	voti , incentrando tutto il suo operato sulla lotta all'immigrazione clandestina, riducendo i numeri degli sbarchi (grazie anche ai precedenti accordi portati avanti da Marco Minniti con le tribù libiche) e poi fa saltare il banco sulla Tav.
6	Ricordo ore	e	ore in TV e online con tutto il peggiore di Berlusconi, incluso del padre e di prima della sua nascita.
97	I monaci hanno progettato e costruito pietra	su	pietra , cattedrali e monasteri.
18	A leggerli tutti assieme questi racconti, è come trovarsi di fronte ad un piccolo quadro espressionista, che pennellata	per	pennellata ci trasporta in un mondo sfigurato ma drammaticamente e meravigliosamente simile al nostro.
102	Il vento era ancora leggero, ma prometteva tempesta, la sabbia volava bassa e copriva le strade, velo	su	velo .
12	Ecco la procedura passo	dopo	passo per disabilitare la segnalazione errori.
116	Nel ventre dell'acropoli, una collina compresa fra via Santa Maria in Costantinopoli, via Foria e via Tribunali, le epoche si sono sistemate strato	su	strato , dalle mura greche che risalgono alla fondazione nel V secolo avanti Cristo, fino agli edifici ottocenteschi.
48	Ci deve essere la possibilità di rapporti concreti: la mamma deve poterti portare a letto, darti il bacio della buona notte, imboccarti se è necessario, stare con te cuore	a	cuore .
17	Conosciamo quasi tutto sulla procreazione di un bimbo, mese	per	mese tutte le fasi della gravidanza e della nascita
95	Le era sembrato di costruire ogni giorno pezzetto	per	pezzetto la propria vita e ciò che l'aveva inorgoglita di più era che ogni piccolo miglioramento derivasse dalla sua volontà e dalla assoluta mancanza di compromessi.
103	Per poi tornare a farsi la guerra, perché alle elezioni europee la contesa sarà voto	a	voto , e i due si contendono lo stesso elettorato.
73	Marcella Bazzoni da poche ore si è dimessa da tecnico dell'Itm Jchnusa, la formazione di pallamano che nella prima parte di campionato ha macinato avversari	su	avversari nella A2 maschile, per poi crollare inanellando quattro sconfitte di seguito.
79	Il suo amore per i libri era nato là, a mettere borotalco	e	borotalco sui libri della biblioteca della scuola, borotalco melmoso e poi ancora borotalco melmoso alla pagina dopo - se eri riuscito a scollarla - tra risate e chiacchiere frenetiche, programmando impraticabili scherzi.
90	Prima parlò dei suoi studi segreti, quelli da architetto, e mi raccontò in modo snervante, dettaglio	per	dettaglio , come si era svolto un esame difficile che aveva superato brillantemente.
70	Esattamente come la vecchia Unione sovietica che macinava acciaio	su	acciaio e, per certi versi, anche la Cina attuale.
98	Il capo degli anestesisti, Giuseppe Sala, ha respinto punto	per	punto ogni accusa nel faccia a faccia più lungo della giornata.
31	Lotto, come molti di noi, con difficoltà economiche, che spero di superare, grado	per	grado .
114	Una pessima notizia per il Basaksehir, club di recente fondazione che sta lottando punto	a	punto con il più quotato Galatasaray per la vittoria dello scudetto.
66	Ma anche questa volta per occupare la Città Santa devono combattere corpo	a	corpo con i palestinesi per annientare la resistenza araba.
83	E fu senz'altro la disperazione che li portò a organizzare cene	su	cene con vino in abbondanza e conseguente e inevitabile sbronza collettiva.
27	La neve continuava a cadere, fiocco a fiocco	a?	fiocco accresceva lo spessore di bianco e di silenzio, senso di distanza dal resto del mondo.
56	Riuscì ancora a vedere i due uomini, vicini al suo viso, appoggiati l'uno all'altro guancia	a	guancia , che osservavano la fine.
30	Non esistono infine uffici: gli impiegati e le segretarie operano gomito	a	gomito in open space.
89	La condizione, naturalmente, è voler discutere davvero del merito dei problemi: mettendo da parte una logica di contrapposizione politica esasperata che, a urne chiuse, non può che produrre danni	su	danni .
81	Il Libro del Mondo è, in fondo, il lungo racconto che con incredibile coerenza ha costruito canzone	per	canzone quel grande moralista camuffato da immmoralista (Cesare G. Romana ) che era Fabrizio.
51	Ai due lati del viale, dentro gabbie di ferro avvolte di tela di sacco per ripararle dalle tempeste di sabbia, alcune piante di poinciana nutrite dall'irrigazione goccia	a	goccia e ancora incredule sul senso della propria esistenza.
29	La fine portava la festa, il maiale si svuotava goccia	dopo	goccia , in chiesa il prete issava il Cristo infreddolito sulla croce e dava l'ostia ai credenti, le strade si riempivano, sulla terra bianca la chiazza rossa si stendeva con la lentezza delle cose passate, e il mio sguardo non trovava rifugio.
107	Non si fa che procedere per accumulo: monologo	per	monologo.
86	La capacità di significare tramite icone implica anche che tutti i processi di comunicazione siano di secondo livello, ovvero comunicazioni	di	comunicazioni , spesso lontane dalla vita quotidiana.
46	Il più attuale si fa sfilando ciocca	a	ciocca , per creare l'effetto piuma, che alleggerisce la pettinatura e rende la piega particolarmente facile.
45	E così, goccia a goccia, o meglio, campo a campo e casa	a	casa , in duemila anni la Chiesa ha potuto accumulare un patrimonio immenso, che nel passato era amministrato dal cosiddetto Obolo di San Pietro, e oggi lo è invece dal Pio Istituto per le Opere di Religione (IOR).
32	Alfio per il resto della serata rimase mortificato a guardarla ballare i valzer lenti guancia	a	guancia con Piastrein.
53	Meg Conti scoppiò a piangere, tanta era l'emozione, ma erano lacrime dolci che goccia	dopo	goccia le lavavano un'antica colpa e le ridavano il desiderio di vivere.
72	Il ventilatore non vale niente, muove aria	su	aria , sempre la stessa.
26	La sua voce si impoveriva man mano che andava avanti, come se le sue parole si portassero via fibra	dopo	fibra il tessuto del suo timbro.
38	Fuori c'erano i fiorai profumati e i mendicanti storpi, spalla	contro	spalla : e solo a guardarli s'allargava in me la confusione della vita.
100	Come si erano convinti a smettere di accettare le regole subite stagione	per	stagione da centinaia di migliaia di raccoglitori di frutta, verdura, zucchine e pomodori, angurie in Puglia e grappoli al Nord, senza ribellione?
36	A sfidarlo sarà Nicolas Almagro, protagonista di un emozionante partita punto	a	punto contro il brasiliano Bellucci.
22	Ma non primadi aver beccato Nauplio finoa levargli la pelle, a scuoiarlo, brano	dopo	brano .
111	Così finii, ancora una volta, ad accumulare in breve tempo incarichi	su	incarichi , fino ad arrivare a dirigere l'intera divisione.
7	Sì, perché le sue rispostacce erano da interpretare, c'era scontrosità	su	scontrosità .
85	Il sole d'inizio primavera era alto e già piuttosto caldo e i ragazzi ansimavano apparentemente stremati, ma continuavano a scontrarsi con crescente impeto stringendo i denti, rispondendo colpo	dopo	colpo e urtandosi con gli scudi con tutta la forza residua delle membra.
5	Avanzano i mediocri a milioni	e	milioni , e,insieme a loro, trafficanti e fannulloni.
25	Avvicinandosi si trovano - e si vedono da vicino - centinaia di bellissimi uccelli che, dorso	dopo	dorso , sembrano coprire l'acqua con un manto rosato.
76	Ormai, Ennio come un fucile, Athos come una mitraglia, sfornano barzellette	su	barzellette, come si suol dire, prendono il pallino in mano; fra un bicchiere e l'altro, una risata e l'altra, cadono le ultime barriere; ci sentiamo ormai comese fossimo davvero cresciuti tutti insieme; nasce in questa occasione oltrealla sintonia del branco, anche l'intercalare ufficiale della vacanza olè... se dobla!
84	E in fin dei conti due gomme sono come un paio di scarpe da corsa, macinano chilometri	su	chilometri , talvolta senza una meta precisa.
50	Una mitologia personale, insomma, costruita fotogramma	per	fotogramma ritagliandomi di netto ciò che è necessario per un Olimpo fatto in casa: un pugno di tragedie sofoclee, uomini ed eroi, martiri casuali, omicidi senza fonte e senza fine
57	A Lucas Avenue guardavamo dall'alto in basso quelle disgraziate nei casini di Chestnut o di Market Strect, che stavano muro	a	muro con i teatri di varietà, le case da gioco dove un bullo poteva tentare la fortuna al faro o ad altri giochi, trovare qualsiasi tipo di liquore, e soddisfare qualunque capriccio sessuale.
78	Poco sveglio da giovane, invecchiando aveva peggiorato e al calare del sole il vino che s'era bevuto durante il giorno, sommandosi bicchiere	per	bicchiere , lo riduceva ad appisolarsi accantoal fuoco d'inverno o sotto l'albero del cortile al tempo della buona stagione.
82	A destra c'è il mare, a sinistra case	e	case , fino a pochi secondi prima di toccare.
63	Se tu non dai la qualità settimana	per	settimana , purtroppo queste grandi piattaforme, con tutto il rispetto perché è un mercato, ti trattano non come un dipendente a tempo indeterminato ma come un contratto a ore.
61	Quando si riprese, Ron andò a vendere porta	a	porta i prodotti della Rawleigh come suo padre.
59	Per individuare le casse di zinco, la polizia batte palmo	a	palmo tutta la basilica, partendo dai sottotetti, scoprendo locali nemmeno mappati nelle cartine catastali, per passare alle stanze che ospitano gli organi, sino a sgabuzzini ricavati vicino alle aule, come quello ispezionato vicino all'attuale aula 201: la coincidenza è interessante, perché la stanza si trova a pochi metri dal quarto piano del palazzo adiacente: proprio la vecchia sede dell'istituto Ludovico da Victoria, la scuola di musica dove Emanuela nel 1983 andava a lezione.
62	Profumino invadente di tabaccaio di lusso spacciato per raro oggetto di profumeria, qui la tirchieria è di casa, roba che ti intontisce l'olfatto, venditrice di bigiotteria porta	a	porta o casalinga con marito assente, fa tante telefonate ad amiche che fanno anche loro tante telefonate.
44	Così si sente superiore nel cortile, a esempio, sul cav. Bizzini, suo dirimpettaio, balcone	a	balcone , che vive con la figlia, il genero e i ragazzi un maschio e una femmina e potrebbe essere privilegiato, ma se sapesse scrollarsi di dosso il rischio di venir ficcato in un ospizio per anziani.
112	Ieri però, dopo giorni di accuse dell'opposizione sui soldi spesi dall'amministrazione per le celebrazioni garibaldine, un gruppo di manifestanti lo ha affrontato a viso aperto e Daverio, ribattendo offesa	per	offesa , in qualche caso ha preferito il rilancio, come quando ha definito «cicciona» una delle manifestanti più ingaggiate.
75	Il meccanismo adottato in Francia per convincere i cittadini della ineluttabilità del nucleare è lo stesso adottato di recente in Italia: balle	su	balle raccontate da venduti e soldi su soldi per la pubblicità e per foraggiare i giornali.
54	E se bisognava affrontarlo - bisognava necessariamente affrontarlo - era di certo meglio farlo in gruppo, in questo gomito	a	gomito che ci saldava l'uno all'altro e che era, nell'imminenza del pericolo, come un ultimo rifugio.
77	Per oltre due ore, Ramses aveva tirato con l'arco, colpendo bersaglio	su	bersaglio .
94	Restando in tema acquatico, si voga onda	dopo	onda , al concerto dei Litfiba.
91	Sposando Luigi, avrebbe lavorato per tutta la vita negli uffici della Coop, risparmiando euro	su	euro per arrivare alla fine del mese.
93	A ventisei anni, nel 1972, scrivere le prime poesie - Lego sull'incontro con la madre e i fratelli consanguinei è un modo di costruirsi il mondo mattone	per	mattone come un giocattolo solido e colorato, con la stessa fantasia e la stessa pazienza di un bambino.
49	Nanni guarda il triangolino di frittata deflagrare e ricomporsi nel piatto di Cecilia, mentre l'insalata scompare foglia	per	foglia con estenuante lentezza, e tutte le cose che vorrebbe dirle non le può dire.
105	I torinesi la videro, ma tra tumulti, morti, feriti: perché mentre loro lavoravano, mattone	per	mattone , a costruire l'aula voluta dal conte e dalla città per sostituire il provvisorio Parlamento subalpino messo su alla buona in soli 113 giorni (in tempo per proclamare, il 18 febbraio 1861, il Regno d'Italia), la diplomazia aveva già deciso di accontentare Napoleone III e trasferire la capitale a Firenze e pochi anni più tardi a Roma.
109	Maria, non l'aveva neppure mai fatto l'amore e, ciò nonostante, si vedeva recapitare scatole	su	scatole di preservativi.
71	Tutto montato rase su frase, aggettivo	su	aggettivo , fino al crollo repentino della spaventevole magione.
8	Un'opera artigianale che vi servirà fedelmente così come ha servito generazioni	e	generazioni di uomini, donne e bambini, oppure un semplice ricordo della vostra vacanza in Val d'Ayas.
110	Bene il raddoppio Mortara, unica linea ancora a singolo binario in città, capacità limitata e treni affollati che accumulano ritardi	su	ritardi a causa degli incroci.
2	Gli studi durano anni	e	anni , ma per diventare un bravo medico ci vuole molta esperienza
101	Ad un certo punto incontrarono una fontana ghiacciata che, strato	per	strato, aveva formato una specie di scultura che sembrava la sagoma di un animale; ma a dire il vero bastava girarsi intorno per riconoscere nel paesaggio mille immagini diverse disegnate dalla galaverna.
106	Ne praticavano una da dimostrare giorno	dopo	giorno , tra gli agguati subiti e quelli resi.
16	Continua a registrare apprezzamenti, appuntamento	dopo	appuntamento , la programmazione socio culturale natalizia 2017.
119	E poi, Il cambio della guardia a Whitehall... che era romantico; e poi, costruendo parola	per	parola, lesse: I soldati della cavalleria le dissero che il cavallo aveva la coda verde; ma per lei era un cavallo qualsiasi.
4	Durante le perquisizioni, gli inquirenti ritrovarono migliaia	e	migliaia di file di materiale pedopornografico.
14	I preventivi che prepariamo sono sempre stilati voce	a	voce : la scelta nasce dal desiderio di trasparenza commerciale e per facilitare modifiche ai dettagli della proposta
15	Perchè la pace in Afghanistan si costruisce giorno	dopo	giorno anche con piccoli gesti come la donazione di vestiti invernali ai bambini di un orfanotrofio.
20	Per i primi cinque minuti il massaggio non va interrotto (amenoche non si sia obbligati ad eseguire contemporaneamente la respirazione bocca	a	bocca .
19	La costruzione dell''asse militare Bonn-Roma, alla quale seguirono passo	per /	passo ulteriori basi d''appoggio, faceva parte del progetto di una NATO paneuropea.
69	Entrambi in passato hanno lavorato spalla	a	spalla come aggiunti a Palermo.
52	Nel braccio di Bruno è conficcato l'ago e lungo il flessibile scorre goccia	per	goccia la medicina che per il momento regala al suo volto un'aria distesa e l'ombra di un sorriso.
115	Aveva sempre permesso che loro ne approfittassero – una masochistica consapevolezza che la portava a collezionare sbagli	su	sbagli .
34	Drogo lo indossò e si guardò pezzo	per	pezzo nel piccolo specchio della propria stanza.
99	Sul sei pari abbiamo uno scambio assassino, rovescio	e	rovescio , e io sono un fascio di nervi scossi.
88	Invano risuonò l'ululato, straziante, di tutti i superstiti: i proiettili seguitarono a trafiggere corpi	su	corpi , trasformandoli in un batter d'occhio in bambolotti di pezza privi di vita.
37	Fuori le due Red Bull dopo il secondo giro: Ricciardo si ferma a bordo pista per un problema elettronico, Verstappen buca dopo un ruota	a	ruota con Lewis, ed è costretto ad arrendersi.
35	Dopo anni passati prima come venditore porta	a	porta di assicurazioni e di calzature per donne, poi come comparsa in film e serie televisive dimenticabili come Il ritorno dei pomodori assassini e Baby talk, questo è il suo momento.
96	Vuotò il bicchiere, chiuse gli occhi assaporando la squisitezza, annuì, e si alzò, un livello dopo l'altro, splendido edificio, piano	per	piano .
40	Erano nati a distanza di pochi giorni l'uno dall'altro e da generazioni le loro famiglie abitavano, come si dice da queste parti, uscio	a	uscio e così i due soci erano cresciuti assieme, assieme erano andati a scuola, quattro chilometri all'andata e quattro al ritorno, sotto il sole, con la neve o con la pioggia.
9	Hanna, giustamente, stenta a crederci, perché la sua mente è ferma a mesi	e	mesi prima, a quando Max era ancora un dio troppo in alto per lei.
0	Trascorso quasi un secolo, e dopo decine	e	decine di esposizioni che hanno indagato compiutamente e capillarmente le diverse fasi della carriera del pittore, le Scuderie del Quirinale propongono una mostra antologica per evidenziare l'intero arco d'attività dell'artista
92	La passione dichiarata è una sola: disseppellire e filtrare leggende di isole mai esistite o trasfigurate o disperse che tuttavia avevano influenzato generazioni	e	generazioni di navigatori portoghesi spagnoli inglesi, e popolato le loro mappe.
60	Tutta l'area è stata immediatamente interdetta e i carabinieri la stanno ispezionando palmo	a	palmo alla ricerca di altri indizi utili all'indagine.
68	La maggior parte dei dirigenti è lì, a lavorare spalla	a	spalla con l'imprenditore.
117	Dove ho letto che al momento finale, quando la vita, superficie	per	superficie , si è - incrostata di esperienza, sai tutto, il segreto, il potere e la gloria, perché sei nato, perché stai morendo, e come tutto avrebbe potuto andare diversamente?
10	Non dobbiamo però dimenticare che il futuro si prepara nel presente e dipende in larga misura dalle scelte che volta	per	volta facciamo.
55	Intorno al tavolo non c'erano abbastanza sedie per tutti e così Kenneth dovette stare gomito	a	gomito con Shirley, cosa che invero pareva non dispiacergli affatto.
64	Per cui nessuno ci pensa al povero animale che bazzica senza meta nel ben delimitato territorio, che ormai conosce zolla	per	zolla .
